Timestamp,Source Floor,Destination Floor
1716645497298511,3,7
1716645497298511,3,7
1716645497298511,1,10
1716645497298511,3,7
1716645497298511,1,10
1716645497298511,2,7
1716645497378511,3,7
1716645497378511,3,7
1716645497378511,1,10
1716645497378511,3,7
1716645497378511,1,10
1716645497378511,2,7
1716645497498511,3,7
1716645497498511,3,7
1716645497498511,1,10
1716645497498511,3,7
1716645497498511,1,10
1716645497498511,2,7
1716645497618511,1,10
1716645497618511,1,10
1716645497618511,2,7
1716645497738511,1,10
1716645497738511,1,10
1716645497738511,2,7
1716645497778511,1,10
1716645497778511,1,10
1716645497778511,2,7
1716645497898511,1,10
1716645497898511,1,10
1716645497898511,2,7
1716645497978511,1,10
1716645497978511,1,10
1716645497978511,2,7
1716645498058511,1,10
1716645498058511,1,10
1716645498058511,2,7
1716645498138511,1,10
1716645498138511,1,10
1716645498138511,2,7
1716645498218511,1,10
1716645498218511,1,10
1716645498218511,2,7
1716645498298511,1,10
1716645498298511,1,10
1716645498298511,2,7
1716645498378511,1,10
1716645498378511,1,10
1716645498378511,2,7
1716645498418511,1,10
1716645498418511,1,10
1716645498418511,2,7
1716645498458511,1,10
1716645498458511,1,10
1716645498458511,2,7
1716645498618511,1,10
1716645498618511,1,10
1716645498618511,2,7
1716645498698511,1,10
1716645498698511,1,10
1716645498698511,2,7
1716645498738511,1,10
1716645498738511,1,10
1716645498738511,2,7
1716645498818511,1,10
1716645498818511,1,10
1716645498818511,2,7
1716645498898511,1,10
1716645498898511,1,10
1716645498898511,2,7
1716645498978511,1,10
1716645498978511,1,10
1716645498978511,2,7
1716645499018511,1,10
1716645499018511,1,10
1716645499018511,2,7
1716645499098511,1,10
1716645499098511,1,10
1716645499098511,2,7
1716645499178511,1,10
1716645499178511,1,10
1716645499178511,2,7
1716645499138511,1,10
1716645499138511,1,10
1716645499138511,2,7
1716645499298511,1,10
1716645499298511,1,10
1716645499298511,2,7
1716645499378511,1,10
1716645499378511,1,10
1716645499378511,2,7
1716645499458511,1,10
1716645499458511,1,10
1716645499458511,2,7
1716645499498511,1,10
1716645499498511,1,10
1716645499498511,2,7
1716645499578511,1,10
